iter	Logloss
0	0.6654347017
1	0.6390417376
2	0.6138275537
3	0.5906185003
4	0.5701674031
5	0.5511471583
6	0.5324521633
7	0.5164954304
8	0.5009119995
9	0.4869868376
10	0.4728580925
11	0.4598869857
12	0.4466123456
13	0.4352962339
14	0.4262377036
15	0.4148150408
16	0.4054687018
17	0.3967865231
18	0.3890616412
19	0.3805853355
20	0.3717511503
21	0.3645262158
22	0.3570531943
23	0.3491884676
24	0.3426645209
25	0.3360624328
26	0.3297091388
27	0.3239528892
28	0.3185064341
29	0.3124595011
30	0.3065919456
31	0.30143529
32	0.2969411197
33	0.2921788324
34	0.2876156409
35	0.2838161105
36	0.2799931627
37	0.2759583703
38	0.2726144991
39	0.2691664753
40	0.2660552581
41	0.2626534108
42	0.259303625
43	0.2561874891
44	0.2541784518
45	0.2510318328
46	0.2486146759
47	0.2458977399
48	0.243507769
49	0.2407782662
50	0.2388000478
51	0.236766992
52	0.2346696795
53	0.2326573716
54	0.2303120132
55	0.2276382607
56	0.2254249087
57	0.2230303883
58	0.2213075712
59	0.2197823203
60	0.2181526466
61	0.2160347525
62	0.2149000355
63	0.2126167105
64	0.2113432523
65	0.2099282827
66	0.2076828609
67	0.2060644968
68	0.2037315036
69	0.2024151293
70	0.2011314482
71	0.1996228015
72	0.1981555921
73	0.1966127214
74	0.1953051548
75	0.1944363153
76	0.1930600266
77	0.1913943276
78	0.1902822175
79	0.1892597551
80	0.1878858021
81	0.1869529289
82	0.1856025393
83	0.1845746244
84	0.1836753891
85	0.1828460879
86	0.1816758303
87	0.1807619857
88	0.1796813877
89	0.1786746609
90	0.1775884875
91	0.1762613295
92	0.1759369858
93	0.1749232746
94	0.1735530309
95	0.1725994105
96	0.1716585507
97	0.1712718289
98	0.1704151295
99	0.1697200893
