iter	Passed	Remaining
0	4	469
1	9	461
2	13	422
3	24	594
4	38	735
5	41	656
6	45	602
7	48	556
8	52	532
9	59	536
10	65	526
11	70	517
12	79	532
13	83	510
14	88	501
15	92	486
16	101	497
17	115	527
18	142	608
19	161	646
20	166	628
21	175	623
22	181	608
23	187	594
24	191	573
25	198	563
26	213	577
27	231	594
28	256	628
29	262	613
30	272	607
31	277	590
32	284	577
33	294	572
34	305	567
35	308	548
36	316	538
37	334	545
38	338	529
39	341	512
40	349	502
41	351	485
42	354	470
43	359	457
44	362	443
45	366	429
46	369	416
47	372	403
48	378	393
49	385	385
50	387	372
51	397	367
52	402	357
53	426	363
54	430	352
55	433	340
56	435	328
57	442	320
58	445	309
59	451	300
60	464	297
61	468	287
62	473	278
63	476	268
64	478	257
65	480	247
66	482	237
67	490	230
68	492	221
69	494	212
70	496	202
71	501	195
72	504	186
73	506	177
74	508	169
75	521	164
76	528	157
77	536	151
78	539	143
79	543	135
80	545	127
81	550	120
82	553	113
83	555	105
84	556	98
85	558	90
86	560	83
87	564	76
88	566	69
89	567	63
90	569	56
91	571	49
92	573	43
93	574	36
94	578	30
95	580	24
96	582	18
97	584	11
98	586	5
99	588	0
